rank,string,count,frequency
837,云南,47,0.0002
838,所有人,47,0.0002
839,奋战,47,0.0002
840,23,47,0.0002
841,减少,47,0.0002
842,西方,47,0.0002
843,项目,46,0.0002
844,心情,46,0.0002
845,指导,46,0.0002
846,审批,46,0.0002
847,沈阳市,46,0.0002
848,一边,46,0.0002
849,等待,46,0.0002
850,增长,46,0.0002
851,路上,46,0.0002
852,讨论,46,0.0002
853,疾控,46,0.0002
854,投稿,46,0.0002
855,阻击战,46,0.0002
856,操作,46,0.0002
857,发出,46,0.0002
858,供应,46,0.0002
859,大规模,46,0.0002
860,人口,45,0.0002
861,快点,45,0.0002
862,业主,45,0.0002
863,韩国,45,0.0002
864,病人,45,0.0002
865,流动,45,0.0002
866,到处,45,0.0002
867,疾病,45,0.0002
868,多地,45,0.0002
869,控区,45,0.0002
870,谣言,45,0.0002
871,自我,45,0.0002
872,看着,45,0.0002
873,合理,45,0.0002
874,立即,45,0.0002
875,文化,45,0.0002
876,铁路,45,0.0002
877,中午,45,0.0002
878,上升,45,0.0002
879,达到,45,0.0002
880,超过,45,0.0002
881,上门,45,0.0002
882,出口,45,0.0002
883,故事,44,0.0002
884,车站,44,0.0002
885,四川,44,0.0002
886,至少,44,0.0002
887,请假,44,0.0002
888,发声,44,0.0002
889,左右,44,0.0002
890,万例,44,0.0002
891,距离,44,0.0002
892,拍摄,44,0.0002
893,传染病,44,0.0002
894,放松,44,0.0002
895,之间,44,0.0002
896,汕大,44,0.0002
897,上课,44,0.0002
898,去年,44,0.0002
899,万人,44,0.0002
900,教育局,44,0.0002
901,流调,44,0.0002
902,策略,44,0.0002
903,网民,44,0.0002
904,紧张,44,0.0002
905,批评,44,0.0002
906,钟南山,43,0.0002
907,甘肃,43,0.0002
908,后来,43,0.0002
909,突发,43,0.0002
910,分局,43,0.0002
911,送到,43,0.0002
912,外地人,43,0.0002
913,喇叭,43,0.0002
914,反弹,43,0.0002
915,尤其,43,0.0002
916,校区,43,0.0002
917,22,43,0.0002
918,绿码,43,0.0002
919,后面,43,0.0002
920,实际,43,0.0002
921,公众,43,0.0002
922,家长,43,0.0002
923,照顾,43,0.0002
924,盘龙区,43,0.0002
925,更好,43,0.0002
926,能量,43,0.0002
927,袭击,42,0.0002
928,昨晚,42,0.0002
929,当下,42,0.0002
930,医疗机构,42,0.0002
931,传染,42,0.0002
932,干嘛,42,0.0002
933,属于,42,0.0002
934,先生,42,0.0002
935,不足,42,0.0002
936,听到,42,0.0002
937,抢菜,41,0.0002
938,多久,41,0.0002
939,方法,41,0.0002
940,京东,41,0.0002
941,检出,41,0.0002
942,多所,41,0.0002
943,微信,41,0.0002
944,校外,41,0.0002
945,降低,41,0.0002
946,专业,41,0.0002
947,运营,41,0.0002
948,好不容易,41,0.0002
949,排查,41,0.0002
950,2020,41,0.0002
951,处置,41,0.0002
952,大概,41,0.0002
953,城区,41,0.0002
954,打电话,41,0.0002
955,简单,41,0.0002
956,家庭,41,0.0002
957,党员,41,0.0002
958,过度,41,0.0002
959,参与,41,0.0002
960,广场,41,0.0002
961,喝水,41,0.0002
962,女孩,41,0.0002
963,阶梯式,40,0.0002
964,出发,40,0.0002
965,美食,40,0.0002
966,现将,40,0.0002
967,我要,40,0.0002
968,山西,40,0.0002
969,可爱,40,0.0002
970,家属,40,0.0002
971,运动,40,0.0002
972,...,40,0.0002
973,可怕,40,0.0002
974,公寓,40,0.0002
975,统筹,40,0.0002
976,一年,40,0.0002
977,出院,40,0.0002
978,物流,40,0.0002
979,不够,40,0.0002
980,考试,40,0.0002
981,涉及,40,0.0002
982,声音,40,0.0002
983,开启,40,0.0002
984,上海浦东,40,0.0002
985,全省,40,0.0002
986,汕头,40,0.0002
987,有个,40,0.0002
988,申请,40,0.0002
989,强化,40,0.0002
990,精神,40,0.0002
991,成员,40,0.0002
992,消防安全,40,0.0002
993,知识,40,0.0002
994,辱骂,40,0.0002
995,静态,39,0.0002
996,冰箱,39,0.0002
997,相对,39,0.0002
998,专家组,39,0.0002
999,礼包,39,0.0002
1000,帮忙,39,0.0002
1001,天气,39,0.0002
1002,感动,39,0.0002
1003,大量,39,0.0002
1004,下降,39,0.0002
1005,产生,39,0.0002
1006,广西,39,0.0002
1007,接触,39,0.0002
1008,关系,39,0.0002
1009,初筛,39,0.0002
1010,样子,39,0.0002
1011,说话,39,0.0002
1012,找到,39,0.0002
1013,单日,39,0.0002
1014,方便,39,0.0002
1015,条件,39,0.0002
1016,明明,39,0.0002
1017,查验,39,0.0002
1018,后续,39,0.0002
1019,卡点,39,0.0002
1020,遏制,38,0.0002
1021,想到,38,0.0002
1022,抵达,38,0.0002
1023,打开,38,0.0002
1024,冲击,38,0.0002
1025,事项,38,0.0002
1026,想要,38,0.0002
1027,离谱,38,0.0002
1028,只会,38,0.0002
1029,厉害,38,0.0002
1030,流程,38,0.0002
1031,四个,38,0.0002
1032,昆明市,38,0.0002
1033,zf,38,0.0002
1034,旅客,38,0.0002
1035,文明,38,0.0002
1036,看来,38,0.0002
1037,兰州,38,0.0002
1038,央视,38,0.0002
1039,多次,38,0.0002
1040,原本,38,0.0002
1041,点赞,38,0.0002
1042,群体,38,0.0002
1043,登记,38,0.0002
1044,联合,38,0.0002
1045,粉丝,38,0.0002
1046,民众,38,0.0002
1047,携手,38,0.0002
1048,美团,37,0.0002
1049,不断,37,0.0002
1050,省份,37,0.0002
1051,毒株,37,0.0002
1052,景区,37,0.0002
1053,大爷,37,0.0002
1054,观察,37,0.0002
1055,满足,37,0.0002
1056,记得,37,0.0002
1057,改变,37,0.0002
1058,人民政府,37,0.0002
1059,收费站,37,0.0002
1060,高铁,37,0.0002
1061,不得不,37,0.0002
1062,求求,37,0.0002
1063,身体,37,0.0002
1064,负责人,37,0.0002
1065,时代,37,0.0002
1066,愿意,37,0.0002
1067,例新冠,37,0.0002
1068,网传,37,0.0002
1069,多天,37,0.0002
1070,效果,37,0.0002
1071,麻烦,37,0.0002
1072,行业,37,0.0002
1073,制作,37,0.0002
1074,经验,37,0.0002
1075,朋友圈,37,0.0002
1076,全区,37,0.0002
1077,家中,37,0.0002
1078,世博,36,0.0002
1079,宿迁,36,0.0002
1080,宝宝,36,0.0002
1081,考研,36,0.0002
1082,人民日报,36,0.0002
1083,打卡,36,0.0002
1084,最终,36,0.0002
1085,唯一,36,0.0002
1086,时刻,36,0.0002
1087,害怕,36,0.0002
1088,听说,36,0.0002
1089,上面,36,0.0002
1090,没人,36,0.0002
1091,结合,36,0.0002
1092,月份,36,0.0002
1093,想着,36,0.0002
1094,人类,36,0.0002
1095,乘坐,36,0.0002
1096,首批,36,0.0002
1097,银川,36,0.0002
1098,筑牢,36,0.0002
1099,经营,36,0.0002
1100,没法,36,0.0002
1101,老板,36,0.0002
1102,300,36,0.0002
1103,仍然,36,0.0002
1104,自测,36,0.0002
1105,过生日,35,0.0001
1106,食品,35,0.0001
1107,系统,35,0.0001
1108,提出,35,0.0001
1109,120,35,0.0001
1110,同样,35,0.0001
1111,利用,35,0.0001
1112,划定,35,0.0001
1113,通行证,35,0.0001
1114,佩戴,35,0.0001
1115,周末,35,0.0001
1116,幼儿园,35,0.0001
1117,嘉兴,35,0.0001
1118,告知,35,0.0001
